Date,Close,High,Low,Open,Volume
2023-03-29,129.67662048339844,130.48436751649763,129.34237788918088,129.6116363448965,214300
2023-03-30,131.98892211914062,132.68848185858187,131.67695687417915,132.3481574481516,193500
2023-03-31,133.94581604003906,134.011982630192,133.19898607741044,133.28407801447435,235000
2023-04-03,134.56027221679688,134.83443007652627,133.89853424904535,134.23885869314697,232900
2023-04-04,134.3712158203125,135.23148245182819,133.9269029194113,135.22201977852805,349200
2023-04-05,132.74522399902344,133.47314303449483,132.5088879611905,132.8681233546348,220500
2023-04-06,131.27992248535156,131.75259450631106,130.6560063805371,131.5824395026722,224000
2023-04-10,130.4669189453125,131.07193852228363,129.40813829181417,130.95850185935296,347600
2023-04-11,130.06988525390625,130.49528719431135,129.72956081662105,130.02261516612666,275900
2023-04-12,128.9827423095703,130.26841077282884,128.85984296921012,130.05098568394985,283200
2023-04-13,129.7295684814453,129.97536718249944,128.8504053809848,129.5594134651522,281600
2023-04-14,128.52899169921875,129.62557990530289,128.20756373857404,129.0205602511575,279100
2023-04-17,130.2211456298828,130.2589530457646,129.19072405563603,129.2379941440926,322200
2023-04-18,129.54994201660156,129.83354811601868,129.09618091241742,129.597212103972,199200
2023-04-19,127.86723327636719,128.47225290209823,127.42292041100782,128.47225290209823,209500
2023-04-20,126.48703002929688,127.0636904460353,125.74966286360575,126.67609594425274,513200
2023-04-21,127.30949401855469,127.42293069978693,126.09945466938782,127.07315798278292,165800
2023-04-24,127.4701919555664,127.59309130158644,126.5721179668503,126.72337648121251,222300
2023-04-25,126.21288299560547,127.56473253163004,126.16562733142483,127.38511484836471,257100
2023-04-26,126.69502258300781,127.61200753036451,126.56267498363707,127.13933547192524,324000
2023-04-27,130.00372314453125,130.30622575208025,128.33990831619064,128.33990831619064,323600
2023-04-28,129.8240966796875,129.83354492700735,128.84093081583103,129.15289607504675,300000
2023-05-01,129.21908569335938,130.06988960261504,129.08673809803503,129.82410533267154,147400
2023-05-02,127.77271270751953,128.01849698191575,126.91244610992334,127.90506030524155,221700
2023-05-03,128.16030883789062,128.97329093052065,127.91451013564762,128.4817223756476,265900
2023-05-04,127.536376953125,128.349373462238,127.508017783896,127.81052039727419,241800
2023-05-05,130.02261352539062,130.3912971257301,128.31154311292272,128.7653186401139,223900
2023-05-08,130.27786254882812,130.64654615508928,129.78627959887802,130.3156843891042,187600
2023-05-09,133.15171813964844,134.0119702812082,132.8964712015915,133.70946767945676,401300
2023-05-10,135.741943359375,136.346962950679,135.20310477288473,136.07281953383392,506600
2023-05-11,134.87222290039062,134.88167114719133,133.52983618967272,134.15376667382174,272400
2023-05-12,135.43943786621094,136.9330831055778,134.97621411688175,136.31860085547117,293100
2023-05-15,134.6169891357422,134.6264518082713,133.55820839848937,134.13486885534437,246200
2023-05-16,133.41641235351562,133.97416188926064,133.2935130092714,133.8512625450164,165800
2023-05-17,134.2577667236328,134.4090108095734,133.41641109171522,133.41641109171522,164600
2023-05-18,134.72097778320312,134.957313799932,133.89853306092442,134.957313799932,188900
2023-05-19,134.44683837890625,134.65481523384338,133.96471808326447,134.30504253454282,178400
2023-05-22,133.47312927246094,133.96471221941366,133.13280483607912,133.91744213175957,194400
2023-05-23,131.9227752685547,132.65069428231504,130.93960930260184,130.97743114541893,230000
2023-05-24,131.7147979736328,132.70741218461714,131.5351802828596,132.70741218461714,223500
2023-05-25,131.97003173828125,132.3292526591271,131.22320188019697,131.50680797282638,197500
2023-05-26,132.4237823486328,132.76410674788622,131.4784383979071,131.55406764494163,171700
2023-05-30,130.20225524902344,131.93223690083815,129.8619307531778,131.93223690083815,231800
2023-05-31,128.689697265625,129.1056509786176,127.76324965948467,129.00166255036945,256900
2023-06-01,132.962646484375,133.1611750991421,131.61081129862245,132.0173023517458,300100
2023-06-02,138.02024841308594,138.3889320613067,137.07490424587303,137.07490424587303,353400
2023-06-05,137.76498413085938,138.4456329996744,137.50975162365782,137.85007605806533,299100
2023-06-06,140.36468505859375,140.6577394156318,138.14313512390822,138.96557985815122,435200
2023-06-07,137.36795043945312,138.04859935324868,137.25451376208932,137.29232117960845,417900
2023-06-08,138.833251953125,138.96559956619572,137.1032703091811,137.14109215566302,264100
2023-06-09,140.5159454345703,140.98861748116462,139.8258482854883,139.9109257919218,366600
2023-06-12,141.4140167236328,141.68817458328635,140.6104829147303,140.9508073587378,289800
2023-06-13,149.4399871826172,150.40424213983616,148.69315731508306,149.260369507519,858200
2023-06-14,156.52064514160156,157.3808973953818,155.17824369214406,156.82314778281466,952800
2023-06-15,158.9879608154297,159.82933089637461,155.0364294758663,155.16877707037784,569400
2023-06-16,155.3673095703125,157.06891742104062,155.25385846873934,156.93656982321053,420600
2023-06-20,148.56082153320312,150.30971391153028,148.2488706698579,150.02610779277364,781100
2023-06-21,147.94635009765625,148.74043567137073,147.61547389620551,148.4190221426967,238600
2023-06-22,148.52301025390625,149.16583730988796,148.16377488450115,148.42847007517668,199500
2023-06-23,144.99688720703125,145.60190687295395,144.4296749593758,145.582995951417,338600
2023-06-26,146.10292053222656,147.1144311282712,145.4979009390845,146.88755779634602,305400
2023-06-27,148.58917236328125,148.61754595589028,146.72685783669968,146.84974275557926,283000
2023-06-28,151.35903930664062,151.82226309289732,150.21516663742972,150.42314348637717,555200
2023-06-29,151.63319396972656,151.84117083407722,150.60277232122996,151.3212430980074,347700
2023-06-30,151.9640655517578,152.39893018889848,151.2550574698678,151.38740506816168,311500
2023-07-03,151.69935607910156,152.73924027126841,151.65208599312945,152.08695058934603,110200
2023-07-05,153.05120849609375,153.43880305038252,152.5312807657333,153.43880305038252,357400
2023-07-06,152.03968811035156,152.38946079939643,151.11325496312676,152.3138315430181,268300
2023-07-07,152.92832946777344,154.06273957974958,152.23821784210855,152.23821784210855,290200
2023-07-10,151.48194885253906,151.63319295075397,150.81074817213482,151.25506106800663,266400
2023-07-11,149.7614288330078,149.8843281969158,148.89171388604723,149.40219341531244,364800
